van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
1,7.45,7.45,2,7.58,7.58,3,7.73,7.73,4,7.93,7.93
1,9.72,17.17,2,9.67,17.25,3,9.62,17.35,4,9.72,17.65
4,17.41,34.58,1,9.36,26.61,2,9.38,26.73,3,9.29,26.94
4,21.07,55.65,1,9.56,36.17,2,9.54,36.27,3,9.51,36.45
4,18.56,1:14.209,1,9.82,45.983,2,9.80,46.067,3,9.74,46.190
