Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
3,13.39,13.39,4,13.44,13.44,1,13.13,13.13,2,13.23,13.23,5,13.58,13.58
3,9.98,23.37,4,10.02,23.46,1,10.00,23.13,2,10.01,23.24,5,9.91,23.49
3,9.83,33.20,5,9.95,33.41,1,9.85,32.98,2,9.84,33.08,4,9.86,33.35
3,9.54,42.74,4,9.42,42.83,1,9.56,42.54,2,9.56,42.64,5,9.49,42.84
4,9.45,52.19,5,9.47,52.30,1,9.38,51.92,2,9.37,52.01,3,9.29,52.13
4,9.25,1:01.44,5,9.33,1:01.63,1,9.18,1:01.10,2,9.23,1:01.24,3,9.20,1:01.33
4,9.03,1:10.47,5,9.25,1:10.88,1,8.84,1:09.94,3,8.99,1:10.23,2,8.77,1:10.10
4,9.04,1:19.51,5,9.52,1:20.40,1,8.76,1:18.70,3,8.98,1:19.21,2,8.70,1:18.80
4,9.18,1:28.689,5,10.01,1:30.403,2,9.24,1:27.935,3,9.31,1:28.513,1,8.85,1:27.644
