Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
4,13.13,,1,12.88,,2,12.97,12.97,3,13.04,13.04,5,13.24,13.24
5,10.01,,2,9.96,,3,9.97,22.94,4,10.00,23.04,1,9.53,22.77
4,9.44,,2,9.61,,4,9.64,32.58,3,9.45,32.49,1,9.57,32.34
4,9.45,,2,9.49,,5,9.54,42.12,3,9.52,42.01,1,9.52,41.86
4,17.76,,5,24.14,,3,9.48,51.60,2,9.48,51.49,1,9.54,51.40
4,11.49,,5,14.77,,3,9.32,1:00.92,2,9.29,1:00.78,1,9.30,1:00.70
4,10.06,,5,12.68,,3,9.26,1:10.18,2,9.28,1:10.06,1,9.27,1:09.97
4,10.16,,5,10.96,,3,9.34,1:19.52,2,9.40,1:19.46,1,9.44,1:19.41
4,10.60,,5,17.33,2:01.82,2,9.26,1:28.78,3,9.43,1:28.897,1,9.30,1:28.71
