Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
2,12.79,12.79,1,12.66,12.66,4,13.02,13.02,3,12.90,12.90
3,10.43,23.22,1,10.47,23.13,4,10.44,23.46,2,10.31,23.21
2,9.85,33.07,1,9.85,32.98,4,9.81,33.27,3,9.88,33.09
1,8.94,42.01,3,9.17,42.15,4,9.11,42.38,2,9.02,42.11
3,9.36,51.37,2,9.21,51.36,4,9.20,51.58,1,9.18,51.29
4,9.92,1:01.29,2,9.84,1:01.20,3,9.68,1:01.26,1,9.77,1:01.06
3,9.42,1:10.71,4,9.59,1:10.79,1,9.01,1:10.27,2,9.54,1:10.60
2,9.23,1:19.94,4,9.52,1:20.31,1,9.01,1:19.28,3,9.38,1:19.98
2,9.20,1:29.140,4,10.00,1:30.303,1,9.48,1:28.759,3,9.28,1:29.257
