CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
2,6.980,6.980,3,7.190,7.190,4,7.200,7.200,1,6.680,6.680
2,9.110,16.100,4,9.280,16.470,3,9.150,16.360,1,9.140,15.830
2,8.620,24.720,4,8.620,25.100,3,8.710,25.070,1,8.740,24.570
2,8.980,33.710,4,8.810,33.920,3,8.730,33.800,1,9.040,33.620
4,9.910,43.630,2,9.110,43.030,3,9.290,43.100,1,9.260,42.880
