CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
3,10.59,10.59,5,10.95,10.95,6,11.02,11.02,1,10.15,10.15,4,10.75,10.75,2,10.34,10.34
3,12.40,22.99,5,12.30,23.25,6,12.31,23.33,1,12.58,22.73,4,12.34,23.09,2,12.53,22.87
3,11.31,34.30,5,11.23,34.48,6,11.25,34.58,1,11.35,34.08,4,11.29,34.38,2,11.33,34.20
3,11.68,45.98,5,11.74,46.22,6,11.76,46.34,1,11.73,45.81,4,11.68,46.06,2,11.71,45.91
1,10.77,56.75,5,11.04,57.26,6,11.00,57.34,2,11.06,56.87,4,11.06,57.12,3,11.08,56.99
1,9.88,1:06.63,4,9.64,1:06.90,6,9.74,1:07.08,2,9.84,1:06.71,4,9.78,1:06.90,3,9.82,1:06.81
1,9.57,1:16.20,4,9.50,1:16.40,6,9.61,1:16.69,2,9.57,1:16.28,5,9.68,1:16.58,3,9.58,1:16.39
1,9.33,1:25.53,2,9.22,1:25.62,6,9.31,1:26.00,4,9.60,1:25.88,5,9.32,1:25.90,3,9.36,1:25.75
1,9.15,1:34.68,2,9.18,1:34.80,6,9.20,1:35.20,5,9.15,1:35.03,4,9.10,1:35.00,3,9.14,1:34.89
1,8.94,1:43.62,3,9.03,1:43.83,5,9.10,1:44.30,4,9.24,1:44.27,6,9.49,1:44.49,2,8.81,1:43.70
1,8.79,1:52.41,3,8.78,1:52.61,4,8.79,1:53.09,5,9.36,1:53.63,6,9.18,1:53.67,2,8.80,1:52.50
2,8.81,2:01.22,3,8.77,2:01.38,4,8.65,2:01.74,6,9.84,2:03.47,5,9.26,2:02.93,1,8.62,2:01.12
2,8.91,2:10.13,3,8.93,2:10.31,4,8.66,2:10.40,6,10.65,2:14.12,5,9.62,2:12.55,1,8.90,2:10.02
0,9.14,2:19.27,4,9.39,2:19.708,0,8.87,2:19.27,6,11.27,2:25.391,5,10.21,2:22.760,1,9.16,2:19.18
