Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
3,7.73,7.73,2,7.56,7.56,4,7.81,7.81,1,7.10,7.10
4,9.98,17.71,2,9.84,17.41,3,9.82,17.63,1,9.46,16.57
3,9.25,26.97,2,9.38,26.80,4,9.34,26.97,1,9.32,25.89
2,9.30,36.27,3,9.54,36.35,4,9.54,36.52,1,9.55,35.44
2,9.52,45.791,4,9.85,46.197,3,9.63,46.149,1,9.94,45.379
