Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
1,14.14,14.14,2,14.16,14.16,3,14.46,14.46,4,14.55,14.55
2,10.68,24.82,1,10.64,24.80,3,10.50,24.96,4,10.62,25.17
1,10.62,35.44,2,10.66,35.46,3,10.66,35.62,4,10.63,35.80
2,9.59,45.03,3,9.69,45.15,1,9.30,44.92,4,9.63,45.43
2,9.37,54.40,3,9.30,54.45,1,9.43,54.35,4,9.25,54.68
3,9.35,1:03.75,2,9.18,1:03.63,1,9.23,1:03.58,4,9.27,1:03.95
2,9.06,1:12.81,1,9.18,1:12.81,3,9.44,1:13.02,4,9.23,1:13.18
2,9.43,1:22.24,1,9.15,1:21.96,4,9.60,1:22.62,3,9.37,1:22.55
2,9.53,1:31.770,1,9.67,1:31.623,4,9.55,1:32.164,3,9.46,1:32.002
