Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
1,7.97,7.97,4,8.23,8.23,2,8.12,8.12,3,8.23,8.23,6,8.55,8.55,7,8.68,8.68,5,8.40,8.40
2,11.91,19.89,4,11.84,20.08,1,11.75,19.87,3,11.79,20.02,7,11.83,20.38,6,11.61,20.30,5,11.78,20.18
5,10.65,30.54,3,10.35,30.43,1,10.39,30.27,4,10.40,30.43,7,10.24,30.62,2,10.03,30.33,6,10.43,30.62
6,9.89,40.44,5,9.92,40.36,3,10.04,40.31,2,9.76,40.19,7,9.94,40.57,1,9.81,40.15,4,9.70,40.32
6,9.57,50.01,4,9.49,49.85,5,9.63,49.95,2,9.46,49.65,7,9.58,50.15,3,9.54,49.69,1,9.21,49.54
6,9.77,59.78,1,9.50,59.36,5,9.82,59.77,2,9.76,59.42,7,9.82,59.97,4,10.00,59.69,3,9.99,59.54
5,9.54,1:09.33,1,9.48,1:08.85,3,9.28,1:09.06,2,9.48,1:08.91,6,9.37,1:09.35,7,10.03,1:09.72,4,9.69,1:09.23
6,9.74,1:19.07,2,9.91,1:18.76,5,10.00,1:19.06,3,9.96,1:18.87,7,9.96,1:19.31,1,8.90,1:18.62,4,9.65,1:18.89
6,9.90,1:28.97,1,9.84,1:28.60,5,9.84,1:28.90,3,9.98,1:28.85,7,9.88,1:29.19,2,10.04,1:28.67,4,10.00,1:28.89
5,9.63,1:38.61,3,9.79,1:38.39,6,9.86,1:38.77,1,9.42,1:38.27,7,9.71,1:38.91,2,9.64,1:38.31,4,9.58,1:38.47
4,9.53,1:48.14,1,9.44,1:47.84,5,9.56,1:48.33,3,9.77,1:48.05,6,9.46,1:48.37,2,9.73,1:48.04,7,10.08,1:48.56
7,26.59,2:14.74,1,9.30,1:57.14,6,9.80,1:58.13,2,9.59,1:57.64,3,9.38,1:57.76,5,9.80,1:57.84,4,9.22,1:57.79
6,17.82,2:32.56,1,9.49,2:06.64,3,9.27,2:07.40,2,9.50,2:07.15,4,9.64,2:07.41,0,,,5,9.69,2:07.48
7,0.09,2:32.644,1,9.77,2:16.401,4,9.84,2:17.239,5,10.11,2:17.252,2,9.52,2:16.929,6,,2:18.173,3,9.74,2:17.218
