SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,13.88,13.88,1,13.79,13.79,4,13.98,13.98,5,14.12,14.12,3,13.95,13.95
3,10.31,24.19,2,10.25,24.04,4,10.31,24.29,5,10.26,24.38,1,9.99,23.94
4,9.81,34.00,2,9.88,33.92,5,9.85,34.14,3,9.61,33.99,1,9.94,33.88
4,9.55,43.55,2,9.45,43.37,5,9.51,43.65,1,9.35,43.34,3,9.58,43.46
4,9.46,53.01,2,9.47,52.84,5,9.44,53.09,1,9.39,52.73,3,9.44,52.90
4,9.81,1:02.82,2,9.80,1:02.64,5,9.81,1:02.90,1,9.83,1:02.56,3,9.79,1:02.69
4,9.82,1:12.64,2,9.83,1:12.47,5,9.87,1:12.77,1,9.78,1:12.34,3,9.87,1:12.56
3,9.47,1:22.11,2,9.56,1:22.03,5,9.51,1:22.28,1,9.67,1:22.01,4,9.62,1:22.18
2,9.22,1:31.33,1,9.22,1:31.25,5,9.67,1:31.956,0,9.89,1:31.90,4,9.73,1:31.918
