Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,12.69,12.69,2,12.82,12.82,4,13.05,13.05,3,12.91,12.91
1,10.53,23.22,2,10.42,23.24,3,10.27,23.32,4,10.44,23.35
2,9.83,33.05,1,9.75,32.99,4,9.88,33.20,3,9.77,33.12
1,9.86,42.91,2,9.98,42.97,4,9.92,43.12,3,9.96,43.08
1,9.35,52.26,2,9.39,52.36,4,9.46,52.58,3,9.38,52.46
1,9.15,1:01.41,2,9.12,1:01.48,4,9.12,1:01.70,3,9.13,1:01.59
1,8.96,1:10.37,2,8.99,1:10.47,4,9.05,1:10.75,3,8.98,1:10.57
1,8.90,1:19.27,2,8.91,1:19.38,4,9.17,1:19.92,3,8.93,1:19.50
1,9.17,1:28.439,2,9.15,1:28.525,3,9.91,1:29.824,0,,PEN
