Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
5,13.72,13.72,4,13.58,13.58,2,13.31,13.31,3,13.42,13.42,1,13.29,13.29
5,10.23,23.95,4,10.33,23.91,1,10.37,23.68,3,10.35,23.77,2,10.39,23.68
4,21.28,45.23,2,9.80,33.71,1,9.93,33.61,5,1:04.38,1:28.15,3,10.13,33.81
4,11.78,57.01,2,10.67,44.38,1,10.33,43.94,5,21.00,1:49.15,3,17.59,51.40
4,10.63,1:07.64,2,10.74,55.12,1,10.58,54.52,5,17.66,2:06.81,3,14.09,1:05.49
4,10.79,1:18.43,2,10.65,1:05.77,1,11.16,1:05.68,5,16.82,2:23.63,3,11.79,1:17.28
4,10.92,1:29.35,2,11.44,1:17.21,1,11.37,1:17.05,5,16.85,2:40.48,3,11.14,1:28.42
4,10.76,1:40.11,2,11.16,1:28.37,1,11.16,1:28.21,5,16.52,2:57.00,3,11.14,1:39.56
3,9.98,1:50.086,2,11.09,1:39.460,1,11.06,1:39.263,4,16.22,3:13.213,0,,DQ
