Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
4,14.100,14.100,1,13.780,13.780,3,14.020,14.020,2,13.870,13.870
3,10.660,24.770,4,11.070,24.860,2,10.640,24.670,1,10.640,24.520
4,10.420,35.190,3,10.310,35.180,2,10.410,35.090,1,10.410,34.930
4,10.830,46.020,3,10.750,45.930,2,10.680,45.770,1,10.620,45.550
3,10.430,56.450,4,10.590,56.520,2,10.580,56.350,1,10.670,56.220
4,10.460,1:06.910,3,10.380,1:06.910,2,10.260,1:06.620,1,10.390,1:06.620
3,10.070,1:16.990,4,10.330,1:17.240,2,10.250,1:16.870,1,10.120,1:16.740
3,10.370,1:27.360,4,10.260,1:27.510,2,10.360,1:27.230,1,10.340,1:27.080
3,10.630,1:38.000,4,10.630,1:38.140,2,10.630,1:37.870,1,10.570,1:37.650
