HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
1,11.94,11.94,4,12.40,12.40,2,12.16,12.16,3,12.24,12.24
2,9.68,21.62,3,9.34,21.74,1,9.42,21.58,4,9.56,21.80
1,9.44,31.06,3,9.64,31.39,2,9.72,31.31,4,9.78,31.58
2,9.42,40.49,1,9.07,40.46,4,9.58,40.90,3,9.22,40.81
1,9.34,49.83,2,9.51,49.97,4,9.65,50.55,3,9.45,50.26
1,9.33,59.17,2,9.44,59.41,4,9.36,59.91,3,9.28,59.54
1,9.44,1:08.61,3,9.35,1:08.77,4,9.11,1:09.03,2,9.21,1:08.76
2,9.36,1:17.97,1,9.12,1:17.89,4,9.11,1:18.14,3,9.29,1:18.06
2,9.44,1:27.42,1,9.16,1:27.05,4,10.43,1:28.57,3,9.56,1:27.62
2,9.23,1:36.65,1,9.10,1:36.16,4,9.86,1:38.44,3,9.18,1:36.81
2,9.51,1:46.17,1,9.40,1:45.56,4,9.70,1:48.14,3,9.54,1:46.35
2,9.53,1:55.70,1,9.20,1:54.76,4,9.53,1:57.68,3,9.39,1:55.74
3,9.39,2:05.10,1,9.31,2:04.08,4,9.09,2:06.77,2,9.30,2:05.05
3,9.25,2:14.35,1,9.17,2:13.26,4,9.10,2:15.88,2,9.08,2:14.13
3,9.30,2:23.66,1,9.25,2:22.51,4,9.34,2:25.22,2,9.12,2:23.26
3,9.36,2:33.02,1,9.20,2:31.71,4,9.69,2:34.91,2,9.26,2:32.52
3,9.65,2:42.67,1,9.42,2:41.14,4,9.71,2:44.62,2,9.12,2:41.65
3,9.58,2:52.26,1,9.40,2:50.54,4,9.24,2:53.87,2,9.77,2:51.43
3,9.31,3:01.57,1,9.31,2:59.85,4,9.78,3:03.65,2,9.77,3:01.21
3,9.38,3:10.96,1,9.29,3:09.14,4,9.17,3:12.82,2,9.72,3:10.94
3,9.25,3:20.21,1,9.19,3:18.33,4,10.10,3:22.92,2,9.27,3:20.21
2,9.41,3:29.63,1,9.29,3:27.63,4,10.24,3:33.17,3,9.42,3:29.64
3,9.74,3:39.38,1,9.64,3:37.27,4,10.18,3:43.36,2,9.38,3:39.02
3,9.44,3:48.82,1,9.57,3:46.84,4,9.70,3:53.07,2,9.70,3:48.72
3,9.33,3:58.15,1,9.51,3:56.36,4,9.55,4:02.63,2,9.41,3:58.13
3,9.53,4:07.68,1,9.27,4:05.64,4,9.37,4:12.00,2,9.10,4:07.23
2,9.85,4:17.528,1,9.58,4:15.211,3,10.45,4:22.443,0,,DQ
