Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
5,9.51,9.51,4,9.36,9.36,2,9.00,9.00,1,8.83,8.83,3,9.21,9.21
5,11.96,21.47,4,12.00,21.36,2,12.11,21.11,1,12.21,21.04,3,12.02,21.23
5,11.91,33.38,4,11.91,33.27,2,11.92,33.03,1,11.91,32.95,3,11.93,33.16
5,12.25,45.63,4,12.25,45.52,2,12.20,45.23,1,12.19,45.14,3,12.22,45.38
5,12.19,57.82,4,12.19,57.71,2,12.25,57.48,1,12.25,57.39,3,12.22,57.60
5,12.26,1:10.08,4,12.25,1:09.96,2,12.28,1:09.76,1,12.28,1:09.67,3,12.26,1:09.86
4,12.11,1:22.19,4,12.23,1:22.19,1,12.06,1:21.82,2,12.25,1:21.92,3,12.07,1:21.93
1,9.83,1:32.02,5,10.66,1:32.85,2,10.74,1:32.56,4,10.91,1:32.83,3,10.73,1:32.66
1,9.46,1:41.48,4,9.61,1:42.46,3,9.78,1:42.34,5,9.76,1:42.59,2,9.57,1:42.23
1,9.57,1:51.05,4,9.20,1:51.66,3,9.16,1:51.50,5,9.26,1:51.85,2,9.12,1:51.35
1,9.72,2:00.77,3,9.19,2:00.85,4,9.40,2:00.90,5,9.28,2:01.13,2,9.46,2:00.81
5,10.03,2:10.80,1,9.24,2:10.09,3,9.47,2:10.37,4,9.50,2:10.63,2,9.47,2:10.28
5,10.24,2:21.04,1,9.38,2:19.47,3,9.42,2:19.79,4,9.70,2:20.33,2,9.48,2:19.76
5,10.56,2:31.578,1,9.39,2:28.86,2,9.43,2:29.22,4,10.01,2:30.326,3,9.71,2:29.462
