KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME
1,13.27,13.27,2,13.37,13.37,4,13.70,13.70,3,13.58,13.58
1,10.00,23.27,2,9.99,23.36,4,9.89,23.59,3,9.89,23.47
1,10.10,33.37,2,10.11,33.47,4,10.12,33.71,3,10.14,33.61
1,9.93,43.30,2,9.93,43.40,4,9.88,43.59,3,9.87,43.48
1,9.63,52.93,2,9.62,53.02,4,9.62,53.21,3,9.64,53.12
1,9.63,1:02.56,2,9.57,1:02.59,4,9.57,1:02.78,3,9.59,1:02.71
4,9.71,1:12.27,1,9.42,1:12.01,3,9.46,1:12.24,2,9.41,1:12.12
4,9.92,1:22.19,2,9.64,1:21.65,3,9.63,1:21.87,1,9.35,1:21.47
4,10.00,1:32.181,2,9.81,1:31.455,3,9.87,1:31.733,1,9.58,1:31.048
