SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
3,13.72,,1,13.57,13.57,4,13.82,13.82,2,13.65,13.65
3,9.95,,1,9.91,23.48,4,9.94,23.76,2,9.93,23.58
3,9.79,,1,9.79,33.27,4,9.79,33.55,2,9.78,33.36
3,9.63,,1,9.65,42.92,4,9.62,43.17,2,9.64,43.00
2,9.23,,1,9.32,52.24,3,9.29,52.46,4,9.98,52.98
2,9.38,,1,9.41,1:01.65,3,9.34,1:01.80,4,9.61,1:02.59
2,9.51,,1,9.49,1:11.14,3,9.50,1:11.30,4,9.61,1:12.20
1,9.40,,3,9.73,1:20.87,2,9.55,1:20.85,4,10.14,1:22.34
1,9.43,,3,10.09,1:30.96,2,9.49,1:30.34,4,11.12,1:33.46
