van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
2,13.60,13.60,3,13.67,13.67,1,13.46,13.46,4,13.81,13.81
3,10.45,24.05,2,10.30,23.97,1,10.46,23.92,4,10.37,24.18
3,10.29,34.34,2,10.22,34.19,1,10.20,34.12,4,10.26,34.44
3,10.19,44.53,2,10.24,44.43,1,10.22,44.34,4,10.16,44.60
3,10.08,54.61,2,10.02,54.45,1,10.03,54.37,4,10.13,54.73
3,9.95,1:04.56,2,10.00,1:04.45,1,9.99,1:04.36,4,9.95,1:04.68
3,9.90,1:14.46,2,9.77,1:14.22,1,9.78,1:14.14,4,9.94,1:14.62
3,9.96,1:24.42,2,9.79,1:24.01,1,9.52,1:23.66,4,9.93,1:24.55
3,10.21,1:34.629,2,10.01,1:34.018,1,9.75,1:33.402,4,10.16,1:34.706
