GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
3,10.56,10.56,4,10.72,10.72,2,10.33,10.33,6,11.20,11.20,5,10.95,10.95,1,10.08,10.08
4,12.64,23.20,3,12.44,23.16,2,12.72,23.05,6,12.35,23.55,5,12.45,23.40,1,12.84,22.92
4,12.18,35.38,3,12.07,35.23,2,12.10,35.15,6,12.10,35.65,5,12.09,35.49,1,12.08,35.00
4,12.08,47.46,3,12.08,47.31,2,12.07,47.22,6,12.16,47.81,5,12.12,47.61,1,12.11,47.11
1,11.42,58.88,4,11.95,59.26,3,11.90,59.12,6,11.74,59.55,5,11.77,59.38,2,11.91,59.02
1,11.15,1:10.03,4,11.08,1:10.34,3,11.11,1:10.23,6,11.04,1:10.59,5,11.07,1:10.45,2,11.10,1:10.12
1,10.96,1:20.99,5,10.85,1:21.19,4,10.90,1:21.13,2,10.43,1:21.02,6,10.80,1:21.25,3,10.97,1:21.09
2,9.72,1:30.71,6,9.84,1:31.03,3,9.66,1:30.79,1,9.56,1:30.58,4,9.54,1:30.79,5,9.76,1:30.85
2,9.56,1:40.27,6,9.65,1:40.68,5,9.70,1:40.49,1,9.55,1:40.13,3,9.50,1:40.29,4,9.58,1:40.43
4,9.51,1:49.78,6,9.39,1:50.07,3,9.23,1:49.72,1,9.39,1:49.52,2,9.33,1:49.62,5,9.44,1:49.87
4,9.37,1:59.15,6,9.45,1:59.52,3,9.10,1:58.82,1,9.04,1:58.56,2,9.13,1:58.75,5,9.35,1:59.22
5,9.49,2:08.64,6,9.69,2:09.21,2,8.90,2:07.72,1,9.04,2:07.60,3,9.25,2:08.00,4,9.22,2:08.44
5,9.71,2:18.35,6,9.89,2:19.10,2,9.16,2:16.88,1,9.21,2:16.81,3,9.44,2:17.44,4,9.30,2:17.74
5,10.35,2:28.696,6,10.31,2:29.401,1,9.31,2:26.190,2,9.49,2:26.298,3,9.63,2:27.062,4,9.36,2:27.092
