Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME
2,17.40,17.40,4,17.89,17.89,3,17.71,17.71,1,17.25,17.25
2,13.57,30.97,4,13.58,31.47,3,13.44,31.15,1,13.54,30.79
3,11.07,42.04,4,10.92,42.39,1,10.69,41.84,2,11.15,41.94
3,9.88,51.92,4,9.73,52.12,2,10.00,51.84,1,9.74,51.68
4,9.49,1:01.41,3,9.23,1:01.35,1,9.40,1:01.24,2,9.57,1:01.25
4,9.33,1:10.74,3,9.09,1:10.44,1,8.95,1:10.19,2,9.04,1:10.29
4,8.99,1:19.73,3,8.99,1:19.43,1,9.04,1:19.23,2,9.05,1:19.34
4,8.95,1:28.68,3,9.18,1:28.61,1,9.12,1:28.35,2,9.11,1:28.45
3,9.39,1:38.069,0,,YC,1,9.32,1:37.667,2,9.49,1:37.932
