SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Jacqueline CHEN POSITION,Jacqueline CHEN LAP TIME,Jacqueline CHEN ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Vira-Nika KHOMENKO POSITION,Vira-Nika KHOMENKO LAP TIME,Vira-Nika KHOMENKO ELAPSED TIME
3,13.54,13.54,4,13.63,13.63,2,13.02,13.02,1,12.70,12.70,5,13.84,13.84
3,9.67,23.21,4,9.66,23.29,2,9.58,22.60,1,9.37,22.07,5,9.77,23.61
3,9.58,32.79,4,9.63,32.92,2,9.95,32.55,1,9.46,31.53,5,10.10,33.71
3,9.97,42.76,4,9.98,42.90,2,10.16,42.71,1,9.70,41.23,5,10.77,44.48
3,10.25,53.01,4,10.24,53.14,2,10.20,52.91,1,9.75,50.98,5,11.24,55.72
3,10.64,1:03.65,4,10.60,1:03.74,2,10.55,1:03.46,1,9.84,1:00.82,5,12.18,1:07.90
4,11.28,1:14.93,3,10.76,1:14.50,2,10.44,1:13.90,1,10.10,1:10.92,5,12.29,1:20.19
4,12.34,1:27.27,3,11.10,1:25.60,2,10.69,1:24.59,1,10.28,1:21.20,5,13.12,1:33.31
4,13.86,1:41.125,3,11.61,1:37.207,2,11.61,1:36.200,1,10.36,1:31.552,5,13.89,1:47.192
