Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Boris FRANKOVIC POSITION,Boris FRANKOVIC LAP TIME,Boris FRANKOVIC ELAPSED TIME
1,6.85,6.85,2,7.08,7.08,4,7.33,7.33,3,7.22,7.22,5,7.50,7.50
1,9.27,16.12,3,9.39,16.47,4,9.73,17.06,2,9.22,16.44,5,9.66,17.16
2,9.00,25.12,3,8.97,25.44,4,9.26,26.32,1,8.62,25.06,5,9.30,26.46
2,9.09,34.21,3,9.10,34.54,4,9.57,35.89,1,8.96,34.02,5,9.52,35.98
2,9.13,43.332,3,9.22,43.760,4,9.89,45.771,1,9.13,43.149,5,10.10,46.079
