Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,13.15,13.15,3,13.32,13.32,1,12.93,12.93,4,13.59,13.59
2,9.55,22.70,3,9.50,22.82,1,9.66,22.59,4,9.38,22.97
2,9.47,32.17,3,9.47,32.29,1,9.49,32.08,4,9.48,32.45
2,9.51,41.68,3,9.53,41.82,1,9.53,41.61,4,9.52,41.97
2,9.58,51.26,3,9.60,51.42,1,9.56,51.17,4,9.61,51.58
1,9.55,1:00.81,3,9.52,1:00.94,2,9.67,1:00.84,4,9.53,1:01.11
1,9.60,1:10.41,2,9.69,1:10.63,4,9.86,1:10.70,3,9.53,1:10.64
2,9.67,1:20.08,3,10.00,1:20.63,4,10.16,1:20.86,1,9.19,1:19.83
2,9.72,1:29.799,4,10.34,1:30.970,3,10.11,1:30.969,1,9.77,1:29.596
