Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME
1,9.159,9.159,3,9.237,9.237,5,9.367,9.367,2,9.178,9.178,4,9.306,9.306
3,12.797,21.956,4,12.738,21.975,5,12.613,21.979,2,12.638,21.816,1,12.232,21.538
2,11.083,33.038,4,11.272,33.246,5,11.454,33.432,3,11.282,33.097,1,11.235,32.772
2,10.955,43.993,4,11.037,44.283,5,11.052,44.484,3,11.064,44.161,1,11.158,43.930
2,10.855,54.847,3,10.770,55.053,5,10.705,55.188,4,10.926,55.087,1,10.753,54.682
3,10.261,1:05.108,1,9.917,1:04.969,5,10.137,1:05.324,4,10.178,1:05.264,2,10.386,1:05.068
5,9.835,1:14.942,3,9.882,1:14.851,4,9.566,1:14.890,2,9.351,1:14.614,1,9.486,1:14.553
5,9.156,1:24.097,3,8.982,1:23.832,4,9.182,1:24.071,2,9.213,1:23.827,1,9.090,1:23.643
5,9.419,1:33.516,3,9.554,1:33.386,4,9.435,1:33.506,2,9.401,1:33.228,1,9.450,1:33.093
4,9.231,1:42.747,3,9.315,1:42.701,5,9.392,1:42.898,2,9.464,1:42.691,1,9.456,1:42.549
5,9.346,1:52.092,3,9.076,1:51.777,4,9.161,1:52.058,1,8.936,1:51.627,2,9.154,1:51.702
5,9.075,2:01.167,2,9.135,2:00.911,4,9.078,2:01.136,1,9.175,2:00.802,3,9.391,2:01.093
5,25.679,2:26.846,2,9.208,2:10.119,4,9.344,2:10.480,1,9.178,2:09.980,3,9.135,2:10.227
5,16.70,2:43.543,2,9.52,2:19.631,4,9.60,2:20.075,1,9.49,2:19.469,3,9.51,2:19.731
