SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,6.90,6.90,3,7.16,7.16,2,7.03,7.03,4,7.19,7.19,5,7.20,7.20
1,9.21,16.11,5,9.45,16.61,2,9.15,16.18,4,9.22,16.41,3,9.07,16.27
1,8.85,24.96,5,8.76,25.37,2,8.83,25.01,3,8.78,25.19,4,9.06,25.33
3,10.10,35.06,2,9.26,34.63,1,9.19,34.20,5,27.86,53.05,4,9.77,35.10
3,9.64,44.698,2,9.41,44.041,1,9.05,43.249,4,21.35,1:14.391,0,,PEN
