Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
2,8.24,8.24,4,8.44,8.44,7,8.90,8.90,3,8.42,8.42,5,8.45,8.45,6,8.67,8.67,1,8.13,8.13
2,12.48,20.72,7,12.74,21.18,6,12.27,21.17,3,12.41,20.84,4,12.44,20.89,5,12.29,20.96,1,12.45,20.59
2,12.46,33.18,5,12.21,33.40,7,12.51,33.68,3,12.36,33.20,4,12.45,33.35,6,12.63,33.59,1,12.40,32.99
3,11.38,44.57,2,11.04,44.45,7,11.43,45.12,4,11.51,44.71,5,11.39,44.74,6,11.35,44.94,1,11.34,44.33
5,11.02,55.60,2,10.96,55.41,7,10.75,55.87,6,11.01,55.73,4,10.82,55.56,3,10.53,55.48,1,10.91,55.25
7,9.75,1:05.36,5,9.74,1:05.15,3,9.11,1:04.99,6,9.61,1:05.34,1,9.17,1:04.74,2,9.46,1:04.94,4,9.79,1:05.04
5,9.68,1:15.04,4,9.79,1:14.95,6,10.21,1:15.20,7,9.98,1:15.33,1,10.00,1:14.74,3,9.91,1:14.86,2,9.72,1:14.77
5,9.62,1:24.66,4,9.58,1:24.53,7,9.68,1:24.88,6,9.39,1:24.73,2,9.60,1:24.35,3,9.57,1:24.43,1,9.35,1:24.12
4,9.42,1:34.08,5,9.55,1:34.08,7,9.36,1:34.24,6,9.50,1:34.23,2,9.41,1:33.76,1,9.27,1:33.71,3,9.64,1:33.76
4,9.21,1:43.30,3,9.06,1:43.14,5,9.05,1:43.30,6,9.24,1:43.48,2,9.31,1:43.08,7,17.31,1:51.02,1,9.25,1:43.02
3,9.26,1:52.57,2,9.37,1:52.52,4,9.36,1:52.66,6,9.86,1:53.35,5,9.81,1:52.89,7,19.03,2:10.06,1,9.23,1:52.25
3,9.40,2:01.97,4,9.46,2:01.98,1,8.76,2:01.42,6,9.87,2:03.22,5,9.37,2:02.27,7,13.56,2:23.62,2,9.50,2:01.75
3,9.40,2:11.38,4,9.47,2:11.46,1,9.23,2:10.65,6,9.82,2:13.05,5,9.29,2:11.57,7,11.47,2:35.09,2,9.48,2:11.23
3,9.59,2:20.967,4,9.95,2:21.411,1,9.86,2:20.510,5,10.51,2:23.553,0,,DQ,6,11.71,2:46.800,2,9.67,2:20.900
