KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,7.06,7.06,4,7.52,7.52,1,6.81,6.81,3,7.46,7.46
2,9.14,16.20,4,9.39,16.91,1,8.98,15.79,3,8.85,16.31
2,8.41,24.61,4,8.93,25.84,1,8.65,24.44,3,8.38,24.69
2,8.64,33.25,4,9.06,34.90,1,8.79,33.23,3,8.63,33.32
1,8.64,41.89,3,9.34,44.241,2,8.98,42.21,4,26.83,1:00.155
