Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Tina KOENIG POSITION,Tina KOENIG LAP TIME,Tina KOENIG ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
0,9.483,9.483,0,9.862,9.862,0,9.442,9.442,0,9.392,9.392,0,9.329,9.329
0,12.542,22.025,0,12.647,22.509,0,12.736,22.179,0,12.850,22.242,0,12.576,21.905
0,11.960,33.985,0,11.887,34.396,0,11.786,33.965,0,11.869,34.111,0,11.815,33.719
0,11.494,45.479,0,11.430,45.826,0,11.541,45.506,0,11.521,45.632,0,11.631,45.350
0,11.205,56.684,0,10.768,56.593,0,11.201,56.707,0,11.183,56.815,0,11.154,56.504
0,10.690,1:07.374,0,10.664,1:07.257,0,10.685,1:07.392,0,10.575,1:07.390,0,10.736,1:07.240
0,10.423,1:17.797,0,10.761,1:18.018,0,10.623,1:18.015,0,10.467,1:17.857,0,10.565,1:17.805
0,10.365,1:28.162,0,10.487,1:28.506,0,9.950,1:27.965,0,10.388,1:28.244,0,10.785,1:28.590
0,10.043,1:38.205,0,9.903,1:38.409,0,10.057,1:38.022,0,10.002,1:38.246,0,9.919,1:38.509
0,9.898,1:48.102,0,10.138,1:48.547,0,10.032,1:48.054,0,10.046,1:48.292,0,10.212,1:48.721
0,9.956,1:58.058,0,10.263,1:58.809,0,9.990,1:58.043,0,10.023,1:58.315,0,10.169,1:58.890
0,10.009,2:08.067,0,10.584,2:09.393,0,10.154,2:08.198,0,10.166,2:08.482,0,10.574,2:09.464
0,10.235,2:18.302,0,11.163,2:20.555,0,10.150,2:18.347,0,10.606,2:19.087,0,11.181,2:20.645
0,10.469,2:28.771,0,11.615,2:32.171,0,10.391,2:28.738,0,11.389,2:30.477,0,11.662,2:32.307
