Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
3,7.20,7.20,1,6.93,6.93,2,7.10,7.10,4,7.57,7.57
2,8.99,16.20,3,9.32,16.25,1,9.10,16.20,4,10.46,18.03
1,8.85,25.05,2,9.08,25.34,3,9.18,25.39,4,10.77,28.81
1,9.11,34.16,2,8.87,34.21,3,8.95,34.34,4,10.78,39.59
1,9.29,43.445,2,9.39,43.592,3,9.39,43.729,4,10.98,50.563
