Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Weronika SUROWIEC POSITION,Weronika SUROWIEC LAP TIME,Weronika SUROWIEC ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
1,9.30,9.30,3,9.46,9.46,4,9.62,9.62,2,9.40,9.40,5,9.74,9.74,7,9.91,9.91,8,10.08,10.08,6,9.83,9.83
1,13.30,22.60,3,13.24,22.70,6,13.30,22.92,3,13.30,22.70,2,12.92,22.66,8,13.30,23.21,5,12.74,22.82,7,13.22,23.05
2,11.69,34.29,5,11.96,34.66,4,11.60,34.52,3,11.71,34.41,1,11.49,34.15,8,11.83,35.04,6,11.97,34.79,7,11.86,34.91
2,12.01,46.30,5,11.96,46.62,4,11.99,46.51,3,11.98,46.39,1,11.94,46.09,8,11.90,46.94,6,11.94,46.73,7,11.87,46.78
2,12.25,58.55,7,12.38,59.00,6,12.37,58.88,3,12.27,58.66,1,12.35,58.44,4,11.83,58.77,8,12.39,59.12,5,12.08,58.86
1,11.21,1:09.76,7,11.26,1:10.26,5,11.12,1:10.00,2,11.17,1:09.83,3,11.46,1:09.90,6,11.25,1:10.02,8,11.29,1:10.41,4,11.08,1:09.94
1,11.10,1:20.86,7,11.24,1:21.50,4,11.18,1:21.18,2,11.14,1:20.97,3,11.17,1:21.07,6,11.36,1:21.38,8,11.17,1:21.58,5,11.33,1:21.27
2,10.95,1:31.81,7,10.87,1:32.37,4,10.85,1:32.03,3,10.95,1:31.92,1,10.64,1:31.71,6,10.83,1:32.21,8,10.94,1:32.52,5,10.83,1:32.10
2,10.42,1:42.23,7,10.43,1:42.80,3,10.39,1:42.42,4,10.53,1:42.45,1,10.46,1:42.17,6,10.46,1:42.67,8,10.41,1:42.93,5,10.49,1:42.59
2,10.26,1:52.49,6,10.02,1:52.82,3,10.21,1:52.63,5,10.28,1:52.73,1,10.26,1:52.43,4,10.02,1:52.69,8,10.04,1:52.97,7,10.25,1:52.84
2,9.85,2:02.34,3,9.62,2:02.44,7,10.25,2:02.88,5,9.80,2:02.53,4,10.05,2:02.48,1,9.50,2:02.19,8,9.92,2:02.89,6,10.01,2:02.85
3,9.60,2:11.94,2,9.37,2:11.81,8,10.43,2:13.31,5,9.89,2:12.42,4,9.83,2:12.31,1,9.49,2:11.68,7,9.94,2:12.83,6,9.65,2:12.50
3,9.76,2:21.70,1,9.77,2:21.58,8,10.81,2:24.12,5,9.91,2:22.33,4,9.94,2:22.25,2,9.98,2:21.66,7,10.20,2:23.03,6,9.91,2:22.41
3,10.19,2:31.89,1,10.11,2:31.69,8,11.33,2:35.45,0,10.18,2:32.51,0,10.27,2:32.52,2,10.15,2:31.81,7,10.48,2:33.51,6,10.29,2:32.70
