KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME
5,11.00,11.00,6,11.19,11.19,1,10.47,10.47,2,10.63,10.63,3,10.79,10.79,4,10.90,10.90
3,15.51,26.51,6,15.66,26.85,2,15.93,26.40,4,15.92,26.55,1,15.55,26.34,5,15.70,26.60
4,13.52,40.03,6,13.52,40.37,1,13.39,39.79,5,13.66,40.21,2,13.54,39.88,3,13.36,39.96
5,12.29,52.32,6,12.10,52.47,1,12.17,51.96,3,11.96,52.17,2,12.18,52.06,4,12.22,52.18
4,11.68,1:04.00,6,11.75,1:04.22,1,11.74,1:03.70,5,11.88,1:04.05,2,11.67,1:03.73,3,11.57,1:03.75
5,10.41,1:14.41,6,10.30,1:14.52,1,10.35,1:14.05,3,10.17,1:14.22,2,10.43,1:14.16,4,10.53,1:14.28
5,10.18,1:24.59,6,10.20,1:24.72,1,10.15,1:24.20,3,10.17,1:24.39,2,10.13,1:24.29,4,10.22,1:24.50
5,10.25,1:34.84,6,10.24,1:34.96,1,10.22,1:34.42,3,10.26,1:34.65,2,10.25,1:34.54,4,10.25,1:34.75
5,10.26,1:45.10,6,10.23,1:45.19,1,10.29,1:44.71,3,10.23,1:44.88,2,10.28,1:44.82,4,10.25,1:45.00
5,10.10,1:55.20,6,10.13,1:55.32,1,10.13,1:54.84,3,10.11,1:54.99,2,10.09,1:54.91,4,10.13,1:55.13
4,9.65,2:04.85,5,9.62,2:04.94,1,9.72,2:04.56,3,9.78,2:04.77,2,9.75,2:04.66,6,10.03,2:05.16
3,9.37,2:14.22,4,9.35,2:14.29,1,9.46,2:14.02,5,9.59,2:14.36,2,9.45,2:14.11,6,10.42,2:15.58
3,9.43,2:23.65,4,9.50,2:23.79,1,9.39,2:23.41,5,9.68,2:24.04,2,9.47,2:23.58,6,11.14,2:26.72
6,26.14,2:49.79,3,9.40,2:33.19,1,9.53,2:32.94,4,10.02,2:34.06,2,9.44,2:33.02,5,11.73,2:38.45
