Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME
1,16.219,16.219,3,16.465,16.465,4,16.682,16.682,2,16.324,16.324
2,9.237,25.456,4,9.051,25.515,3,8.815,25.497,1,9.063,25.387
4,9.572,35.027,2,9.190,34.705,1,9.129,34.625,3,9.386,34.773
4,9.953,44.980,2,9.373,44.077,1,9.319,43.944,3,9.312,44.084
4,,44.871,2,,44.021,1,,43.923,3,0.06,44.138
