SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME
4,12.78,12.78,6,13.09,13.09,7,13.15,13.15,2,12.63,12.63,3,12.73,12.73,5,12.89,12.89,1,12.44,12.44
4,15.27,28.05,7,15.38,28.47,6,15.11,28.26,3,15.33,27.96,2,15.03,27.76,5,15.29,28.18,1,15.21,27.65
5,12.49,40.54,7,12.39,40.86,6,12.42,40.68,4,12.50,40.46,2,12.55,40.31,3,12.23,40.41,1,12.51,40.16
5,10.85,51.39,7,10.78,51.64,6,10.80,51.48,4,10.86,51.32,3,10.87,51.18,1,10.53,50.94,2,10.90,51.06
6,10.89,1:02.28,1,10.14,1:01.78,7,10.86,1:02.34,5,10.85,1:02.17,4,10.86,1:02.04,2,10.88,1:01.82,3,10.89,1:01.95
6,9.92,1:12.20,1,9.98,1:11.76,7,9.92,1:12.26,5,9.99,1:12.16,4,9.98,1:12.02,2,10.04,1:11.86,3,10.01,1:11.96
4,9.46,1:21.66,1,9.73,1:21.49,7,9.53,1:21.79,2,9.38,1:21.54,5,9.65,1:21.67,3,9.72,1:21.58,6,9.82,1:21.78
5,9.17,1:30.83,2,9.12,1:30.61,3,8.93,1:30.72,1,8.87,1:30.41,4,9.08,1:30.75,6,9.41,1:30.99,7,9.30,1:31.08
5,9.06,1:39.89,3,9.04,1:39.65,2,8.81,1:39.53,1,9.07,1:39.48,4,9.01,1:39.76,6,9.05,1:40.04,7,9.12,1:40.20
5,9.04,1:48.93,3,9.10,1:48.75,2,8.80,1:48.33,1,8.78,1:48.26,4,9.02,1:48.78,6,9.05,1:49.09,7,8.99,1:49.19
5,9.28,1:58.21,3,9.24,1:57.99,2,8.97,1:57.30,1,8.95,1:57.21,4,9.34,1:58.12,6,9.26,1:58.35,7,9.24,1:58.43
5,9.46,2:07.67,3,9.39,2:07.38,2,9.06,2:06.36,1,9.08,2:06.29,4,9.29,2:07.41,6,9.70,2:08.05,6,9.62,2:08.05
5,9.53,2:17.20,4,9.74,2:17.12,2,9.26,2:15.62,1,9.29,2:15.58,3,9.59,2:17.00,7,10.23,2:18.28,6,9.37,2:17.42
3,9.59,2:26.795,5,9.95,2:27.075,1,9.37,2:24.999,2,9.47,2:25.057,4,9.83,2:26.835,7,11.23,2:29.516,6,9.78,2:27.204
