PARK Yoon Jung POSITION,PARK Yoon Jung LAP TIME,PARK Yoon Jung ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,Liudmila KOZULINA POSITION,Liudmila KOZULINA LAP TIME,Liudmila KOZULINA ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Claudia HEENEY POSITION,Claudia HEENEY LAP TIME,Claudia HEENEY ELAPSED TIME
3,9.85,9.85,7,10.40,10.40,5,10.17,10.17,6,10.28,10.28,1,9.72,9.72,4,10.00,10.00,2,9.83,9.83
3,13.05,22.90,7,13.01,23.41,5,13.01,23.18,6,13.01,23.29,2,13.05,22.77,4,13.04,23.04,1,12.78,22.61
3,12.22,35.12,7,12.17,35.58,5,12.22,35.40,6,12.22,35.51,2,12.15,34.92,4,12.17,35.21,1,12.18,34.79
3,11.33,46.45,3,10.87,46.45,6,11.30,46.70,7,11.35,46.86,2,11.47,46.39,5,11.34,46.55,1,11.47,46.26
2,9.94,56.39,1,9.88,56.33,6,10.06,56.76,7,10.03,56.89,4,10.14,56.53,5,10.09,56.64,3,10.14,56.40
1,9.77,1:06.16,2,9.91,1:06.24,3,9.51,1:06.27,7,9.77,1:06.66,6,10.02,1:06.55,5,9.79,1:06.43,4,9.92,1:06.32
2,9.83,1:15.99,3,9.90,1:16.14,1,9.65,1:15.92,7,9.89,1:16.55,6,9.90,1:16.45,5,9.90,1:16.33,4,9.92,1:16.24
2,9.68,1:25.67,3,9.76,1:25.90,1,9.60,1:25.52,7,9.79,1:26.34,6,9.73,1:26.18,5,9.71,1:26.04,4,9.67,1:25.91
2,9.63,1:35.30,5,9.97,1:35.87,1,9.67,1:35.19,7,9.69,1:36.03,6,9.78,1:35.96,4,9.66,1:35.70,3,9.50,1:35.41
2,9.89,1:45.19,7,10.27,1:46.14,1,9.87,1:45.06,6,10.10,1:46.13,5,9.99,1:45.95,4,9.71,1:45.41,3,9.88,1:45.29
2,9.74,1:54.93,7,11.08,1:57.22,1,9.78,1:54.84,6,10.19,1:56.32,5,10.30,1:56.25,4,9.75,1:55.16,3,9.74,1:55.03
2,9.77,2:04.70,7,11.62,2:08.84,1,9.72,2:04.56,5,10.23,2:06.55,6,10.81,2:07.06,3,9.83,2:04.99,4,10.05,2:05.08
2,9.81,2:14.51,7,11.96,2:20.80,1,9.85,2:14.41,5,10.73,2:17.28,6,11.42,2:18.48,3,10.18,2:15.17,4,10.59,2:15.67
2,10.11,2:24.62,7,12.14,2:32.949,1,10.09,2:24.50,5,11.16,2:28.44,6,11.63,2:30.115,3,10.69,2:25.86,4,11.01,2:26.68
