Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
2,7.09,7.09,1,6.85,6.85,3,7.18,7.18,4,7.55,7.55
2,9.10,16.19,1,9.21,16.06,3,9.14,16.32,4,9.43,16.98
2,8.85,25.04,1,8.86,24.92,3,8.82,25.14,4,9.16,26.14
3,8.96,34.00,1,8.86,33.78,2,8.82,33.96,4,9.29,35.43
3,9.27,43.261,1,9.04,42.813,2,8.89,42.848,4,9.45,44.874
