YANG Szu-Han POSITION,YANG Szu-Han LAP TIME,YANG Szu-Han ELAPSED TIME,Magdalena GASIOR POSITION,Magdalena GASIOR LAP TIME,Magdalena GASIOR ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,POZDNYAKOVA Marina POSITION,POZDNYAKOVA Marina LAP TIME,POZDNYAKOVA Marina ELAPSED TIME,Lezleigh JAWORSKI POSITION,Lezleigh JAWORSKI LAP TIME,Lezleigh JAWORSKI ELAPSED TIME
1,10.200,10.200,2,10.609,10.609,3,10.700,10.700,5,10.997,10.997,6,11.135,11.135,4,10.777,10.777
1,14.627,24.827,2,14.582,25.190,3,14.558,25.258,5,14.462,25.458,6,14.740,25.875,4,14.530,25.306
1,13.765,38.592,2,13.752,38.942,3,13.793,39.050,5,13.691,39.149,6,13.562,39.436,4,13.778,39.084
1,13.786,52.377,2,13.764,52.706,3,13.739,52.789,5,13.832,52.981,6,13.738,53.173,4,13.787,52.871
1,13.913,1:06.290,2,14.019,1:06.724,5,14.135,1:06.924,4,13.932,1:06.912,6,14.033,1:07.206,3,13.979,1:06.850
2,14.530,1:20.820,1,14.050,1:20.774,4,13.946,1:20.869,5,14.025,1:20.937,3,13.633,1:20.839,6,14.103,1:20.952
5,15.578,1:36.397,1,15.128,1:35.902,3,15.229,1:36.098,2,14.970,1:35.907,6,15.614,1:36.452,4,15.200,1:36.152
6,13.530,1:49.927,3,12.303,1:48.205,4,12.320,1:48.417,1,12.173,1:48.079,5,13.194,1:49.645,2,12.030,1:48.182
6,13.067,2:02.993,3,11.430,1:59.635,4,11.384,1:59.800,1,11.390,1:59.469,5,12.635,2:02.279,2,11.444,1:59.625
6,13.645,2:16.638,2,11.343,2:10.978,4,11.395,2:11.195,1,11.351,2:10.819,5,12.557,2:14.836,3,11.393,2:11.018
6,13.536,2:30.173,3,10.735,2:21.712,4,10.780,2:21.974,1,10.768,2:21.586,5,13.498,2:28.333,2,10.681,2:21.698
6,13.731,2:43.904,2,10.402,2:32.114,4,10.480,2:32.454,1,10.356,2:31.942,5,13.423,2:41.756,3,10.437,2:32.135
5,13.851,2:57.754,2,10.479,2:42.592,4,10.970,2:43.424,1,10.597,2:42.538,6,23.578,3:05.333,3,10.485,2:42.620
5,14.81,3:12.557,2,10.70,2:53.288,4,10.98,2:54.403,1,10.55,2:53.084,6,18.39,3:23.715,3,10.76,2:53.375
