SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,8.860,8.860,3,9.170,9.170,5,10.350,10.350,6,10.790,10.790,2,9.030,9.030,4,9.450,9.450
1,11.370,20.230,3,11.150,20.320,2,9.940,20.290,6,10.140,20.940,4,11.590,20.620,5,11.180,20.630
1,10.630,30.870,6,11.290,31.610,3,10.880,31.170,5,10.430,31.370,2,10.310,30.930,4,10.660,31.300
1,10.790,41.670,6,10.820,42.440,4,11.020,42.200,5,10.920,42.290,2,10.850,41.790,3,10.570,41.870
3,10.870,52.540,4,10.250,52.690,5,10.520,52.720,6,10.470,52.760,2,10.740,52.540,1,10.640,52.510
1,10.050,1:02.600,4,10.190,1:02.890,6,10.540,1:03.270,5,10.470,1:03.230,3,10.280,1:02.820,2,10.300,1:02.820
1,10.380,1:12.980,2,10.230,1:13.120,5,10.280,1:13.550,6,10.380,1:13.620,4,10.450,1:13.270,3,10.410,1:13.240
2,10.160,1:23.150,5,10.140,1:23.270,1,9.590,1:23.150,6,10.300,1:23.930,4,9.970,1:23.250,3,9.990,1:23.230
1,9.730,1:32.880,5,9.950,1:33.220,4,10.000,1:33.160,6,9.440,1:33.370,3,9.850,1:33.100,2,9.850,1:33.080
1,10.220,1:43.110,2,9.920,1:43.150,5,10.610,1:43.770,6,10.480,1:43.860,4,10.180,1:43.290,3,10.190,1:43.280
2,9.700,1:52.810,4,9.970,1:53.120,5,10.410,1:54.190,6,10.560,1:54.430,3,9.540,1:52.830,1,9.530,1:52.810
1,9.370,2:02.190,4,9.230,2:02.350,6,11.130,2:05.330,5,10.890,2:05.320,3,9.480,2:02.320,2,9.470,2:02.290
1,9.680,2:11.870,2,9.590,2:11.950,6,9.240,2:14.570,5,9.240,2:14.570,4,9.880,2:12.200,3,9.890,2:12.190
1,9.830,2:21.710,4,9.820,2:21.780,5,13.140,2:27.720,6,13.150,2:27.730,3,9.530,2:21.740,2,9.530,2:21.720
