Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Didier OLICHON-PERREAULT POSITION,Didier OLICHON-PERREAULT LAP TIME,Didier OLICHON-PERREAULT ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
2,7.162,7.162,4,7.355,7.355,1,7.048,7.048,3,7.268,7.268,5,7.551,7.551
2,9.579,16.741,5,10.012,17.366,1,9.568,16.616,3,9.504,16.772,4,9.471,17.021
1,8.970,25.711,5,9.696,27.062,2,9.166,25.781,3,9.151,25.923,4,9.049,26.070
1,9.219,34.929,5,9.594,36.655,2,9.176,34.957,4,9.347,35.269,3,9.069,35.138
1,9.31,44.232,5,10.07,46.720,3,9.52,44.469,4,9.23,44.498,2,9.15,44.282
