Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME
3,9.58,9.58,4,9.75,,6,10.06,,5,9.93,9.93,1,9.42,9.42,1,9.42,9.42,7,10.11,10.11
3,13.87,23.45,4,13.87,,6,13.98,,5,13.97,23.90,1,13.76,23.18,2,13.93,23.35,7,14.07,24.18
4,13.43,36.88,6,13.40,,5,12.93,,2,12.78,36.68,1,13.38,36.56,3,13.40,36.75,7,13.13,37.31
6,10.45,47.33,4,10.22,,3,10.20,,2,10.37,47.05,1,10.47,47.03,5,10.52,47.27,7,10.16,47.47
6,10.58,57.91,3,10.43,,4,10.54,,2,10.55,57.60,1,10.46,57.49,5,10.55,57.82,7,10.54,58.01
7,10.35,1:08.26,2,10.22,,4,10.32,,1,10.18,1:07.78,3,10.46,1:07.95,5,10.29,1:08.11,6,10.18,1:08.19
6,9.79,1:18.05,2,9.83,,3,9.73,,1,9.81,1:17.59,4,9.84,1:17.79,5,9.82,1:17.93,7,9.94,1:18.13
4,9.81,1:27.86,1,9.50,,3,9.73,,2,9.78,1:27.37,6,10.17,1:27.96,5,9.99,1:27.92,7,9.92,1:28.05
4,9.28,1:37.14,1,9.59,,3,9.55,,2,9.58,1:36.95,7,9.84,1:37.80,5,9.43,1:37.35,6,9.53,1:37.58
4,9.56,1:46.70,1,9.55,,3,9.54,,2,9.55,1:46.50,7,9.52,1:47.32,5,9.46,1:46.81,6,9.56,1:47.14
4,9.31,1:56.01,2,9.39,,3,9.24,,1,9.16,1:55.66,6,9.65,1:56.97,5,9.34,1:56.15,7,9.91,1:57.05
4,9.36,2:05.37,5,9.90,,2,9.18,,1,9.17,2:04.83,6,9.84,2:06.81,3,9.06,2:05.21,7,10.80,2:07.85
4,9.53,2:14.90,5,9.36,,2,9.29,,1,9.34,2:14.17,6,10.04,2:16.85,3,9.19,2:14.40,7,11.72,2:19.57
5,10.03,2:24.93,4,9.59,,2,9.40,,1,9.47,2:23.64,6,10.30,2:27.15,3,9.90,2:24.30,7,12.52,2:32.09
