MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,7.46,7.46,3,7.58,7.58,4,7.87,7.87,1,7.33,7.33
2,9.38,16.84,3,9.43,17.01,4,9.52,17.39,1,9.40,16.73
2,8.83,25.67,3,8.86,25.87,4,9.05,26.44,1,8.86,25.59
1,8.92,34.59,3,8.96,34.83,4,9.32,35.76,2,9.11,34.70
0,9.32,43.91,3,9.23,44.06,4,9.61,45.37,0,9.23,43.93
