GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
3,13.16,13.16,2,13.05,13.05,1,12.90,12.90,4,13.31,13.31
3,9.67,22.83,2,9.66,22.71,1,9.75,22.65,4,9.62,22.93
3,9.64,32.47,2,9.62,32.33,1,9.61,32.26,4,9.68,32.61
3,9.37,41.84,1,9.30,41.63,2,9.43,41.69,4,9.37,41.98
3,9.28,51.12,1,9.28,50.91,2,9.32,51.01,4,9.30,51.28
3,9.20,1:00.32,1,9.17,1:00.08,2,9.16,1:00.17,4,9.30,1:00.58
3,9.02,1:09.34,1,9.06,1:09.14,2,9.13,1:09.30,4,9.46,1:10.04
2,9.01,1:18.35,1,9.09,1:18.23,3,9.32,1:18.62,4,9.87,1:19.91
2,9.46,1:27.803,1,9.22,1:27.451,3,9.66,1:28.271,4,10.20,1:30.104
