YOON Sumin POSITION,YOON Sumin LAP TIME,YOON Sumin ELAPSED TIME,GRUGNI Milan POSITION,GRUGNI Milan LAP TIME,GRUGNI Milan ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
2,14.18,14.18,3,14.31,14.31,4,14.35,14.35,1,13.96,13.96
2,10.63,24.81,4,10.67,24.98,3,10.47,24.82,1,10.64,24.60
2,9.93,34.74,4,10.02,35.00,3,10.04,34.86,1,9.98,34.58
2,9.80,44.54,4,9.66,44.66,3,9.77,44.63,1,9.82,44.40
2,9.56,54.10,4,9.68,54.34,3,9.56,54.19,1,9.64,54.04
2,9.52,1:03.62,4,9.48,1:03.82,3,9.49,1:03.68,1,9.54,1:03.58
2,9.18,1:12.80,4,9.43,1:13.25,3,9.46,1:13.14,1,9.17,1:12.75
1,9.15,1:21.95,4,9.63,1:22.88,3,9.47,1:22.61,2,9.38,1:22.13
1,9.29,1:31.239,4,10.31,1:33.183,3,9.96,1:32.564,2,9.25,1:31.377
