Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME
3,15.25,15.25,2,15.15,15.15,1,15.06,15.06,4,15.42,15.42
3,12.21,27.46,2,12.21,27.36,1,12.22,27.28,4,12.16,27.58
3,11.16,38.62,2,11.17,38.53,1,11.16,38.44,4,11.05,38.63
4,10.44,49.06,1,10.13,48.66,2,10.32,48.76,3,10.26,48.89
4,9.43,58.49,1,9.43,58.09,2,9.41,58.17,3,9.39,58.28
4,9.23,1:07.72,1,9.11,1:07.20,2,9.12,1:07.29,3,9.16,1:07.44
4,9.32,1:17.04,1,9.16,1:16.36,2,9.15,1:16.44,3,9.15,1:16.59
4,9.71,1:26.75,1,9.32,1:25.68,2,9.33,1:25.77,3,9.32,1:25.91
4,10.39,1:37.139,1,9.48,1:35.159,2,9.47,1:35.232,3,9.50,1:35.409
