HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Michal KLOSINSKI POSITION,Michal KLOSINSKI LAP TIME,Michal KLOSINSKI ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
2,9.63,9.63,4,9.76,9.76,5,9.88,9.88,6,9.98,9.98,3,9.69,9.69,7,10.15,10.15,1,9.50,9.50
4,12.18,21.81,3,11.92,21.68,4,11.93,21.81,7,12.02,22.00,2,11.96,21.65,6,11.84,21.99,1,11.98,21.48
6,11.54,33.35,3,11.26,32.94,1,10.83,32.64,7,11.47,33.47,5,11.54,33.19,4,11.10,33.09,2,11.27,32.75
6,10.61,43.96,3,10.61,43.55,2,10.82,43.46,7,10.60,44.07,4,10.46,43.65,5,10.73,43.82,1,10.61,43.36
5,10.47,54.43,4,10.75,54.30,2,10.76,54.22,7,10.54,54.61,3,10.62,54.27,6,10.64,54.46,1,10.72,54.08
1,9.52,1:03.95,4,10.05,1:04.35,5,10.16,1:04.38,7,10.07,1:04.68,3,9.97,1:04.24,6,10.09,1:04.55,2,10.06,1:04.14
1,9.63,1:13.58,2,9.28,1:13.63,5,9.57,1:13.95,7,9.47,1:14.15,4,9.58,1:13.82,6,9.50,1:14.05,3,9.59,1:13.73
2,9.64,1:23.22,1,9.49,1:23.12,5,9.50,1:23.45,7,9.50,1:23.65,4,9.57,1:23.39,6,9.55,1:23.60,3,9.57,1:23.30
1,9.72,1:32.94,2,9.94,1:33.06,7,10.33,1:33.78,6,10.02,1:33.67,4,10.00,1:33.39,5,9.97,1:33.57,3,9.97,1:33.27
1,9.62,1:42.56,2,9.58,1:42.64,7,9.87,1:43.65,6,9.89,1:43.56,4,9.64,1:43.03,5,9.74,1:43.31,3,9.62,1:42.89
1,9.59,1:52.15,2,9.60,1:52.24,6,9.79,1:53.44,7,10.06,1:53.62,4,9.68,1:52.71,5,9.76,1:53.07,3,9.69,1:52.58
1,9.47,2:01.62,2,9.46,2:01.70,6,10.02,2:03.46,7,10.13,2:03.75,4,9.83,2:02.54,5,10.19,2:03.26,3,9.85,2:02.43
1,9.46,2:11.08,2,9.47,2:11.17,6,10.51,2:13.97,7,10.45,2:14.20,4,10.13,2:12.67,5,10.66,2:13.92,3,10.08,2:12.51
1,9.30,2:20.38,2,9.36,2:20.53,6,10.93,2:24.902,7,10.95,2:25.158,4,10.22,2:22.897,5,10.85,2:24.773,3,10.34,2:22.85
