Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME
3,12.44,,4,12.54,12.54,1,12.33,12.33,2,12.43,12.43,5,12.78,12.78
3,9.49,,4,9.42,21.96,1,9.37,21.70,2,9.40,21.83,5,9.34,22.12
3,8.98,,4,9.07,31.03,1,9.02,30.72,2,8.97,30.80,5,9.02,31.14
3,9.23,,4,9.22,40.25,1,9.22,39.94,2,9.25,40.05,5,9.23,40.37
4,9.35,,3,9.08,49.33,1,9.13,49.07,2,9.17,49.22,5,9.17,49.54
4,8.84,,3,8.85,58.18,1,8.88,57.95,2,8.87,58.09,5,8.90,58.44
4,8.66,,2,8.64,1:06.82,1,8.77,1:06.72,3,8.81,1:06.90,5,8.70,1:07.14
3,8.96,,2,9.03,1:15.85,1,8.85,1:15.57,4,9.15,1:16.05,5,9.00,1:16.14
3,9.24,,2,9.28,1:25.13,1,9.10,1:24.67,5,9.42,1:25.47,4,9.17,1:25.31
