DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
5,11.24,11.24,4,11.02,11.02,3,10.90,10.90,2,10.73,10.73,1,10.57,10.57
5,14.67,25.91,4,14.71,25.73,2,14.60,25.50,3,14.86,25.59,1,14.81,25.38
5,13.53,39.44,4,13.60,39.33,2,13.69,39.19,3,13.70,39.29,1,13.69,39.07
4,12.93,52.37,3,12.93,52.26,2,12.96,52.15,5,13.11,52.40,1,12.96,52.03
1,11.69,1:04.06,5,12.13,1:04.39,3,12.12,1:04.27,4,11.91,1:04.31,2,12.15,1:04.18
3,12.12,1:16.18,3,11.79,1:16.18,2,11.83,1:16.10,5,12.06,1:16.37,1,11.81,1:15.99
3,11.17,1:27.35,4,11.24,1:27.42,2,11.16,1:27.26,5,11.07,1:27.44,1,11.18,1:27.17
4,10.80,1:38.15,3,10.70,1:38.12,2,10.80,1:38.06,5,10.89,1:38.33,1,10.81,1:37.98
4,10.65,1:48.80,5,10.71,1:48.83,1,10.45,1:48.51,3,10.30,1:48.63,2,10.64,1:48.62
4,9.76,1:58.56,5,10.59,1:59.42,3,9.92,1:58.43,1,9.57,1:58.20,2,9.71,1:58.33
3,9.72,2:08.28,5,10.63,2:10.05,2,9.84,2:08.27,1,9.90,2:08.10,4,10.00,2:08.33
3,9.93,2:18.21,5,11.08,2:21.13,4,10.15,2:18.42,1,10.01,2:18.11,2,9.84,2:18.17
3,10.13,2:28.34,5,11.54,2:32.67,4,10.07,2:28.49,1,10.00,2:28.11,2,10.08,2:28.25
2,10.08,2:38.42,4,12.02,2:44.69,3,10.17,2:38.66,1,10.20,2:38.31,5,21.86,2:50.11
