Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Sebastian CANO POSITION,Sebastian CANO LAP TIME,Sebastian CANO ELAPSED TIME
2,8.42,8.42,1,8.32,8.32,3,8.46,8.46,4,8.63,8.63,7,9.12,9.12,6,9.02,9.02,5,8.90,8.90
2,10.90,19.32,1,10.91,19.23,3,10.95,19.41,4,10.87,19.50,7,10.48,19.60,5,10.53,19.55,5,10.65,19.55
2,10.53,29.85,1,10.52,29.75,6,10.64,30.05,5,10.54,30.04,3,10.26,29.86,4,10.38,29.93,7,10.70,30.25
2,10.24,40.09,1,10.22,39.97,7,10.53,40.58,3,10.19,40.23,6,10.61,40.47,4,10.44,40.37,5,10.21,40.46
2,9.90,49.99,1,9.94,49.91,7,9.70,50.28,3,9.84,50.07,5,9.75,50.22,4,9.79,50.16,6,9.81,50.27
3,10.13,1:00.12,1,10.12,1:00.03,2,9.79,1:00.07,5,10.22,1:00.29,6,10.11,1:00.33,4,10.09,1:00.25,7,10.19,1:00.46
3,9.49,1:09.61,2,9.48,1:09.51,1,9.29,1:09.36,7,9.77,1:10.06,6,9.60,1:09.93,4,9.49,1:09.74,5,9.37,1:09.83
3,9.53,1:19.14,2,9.56,1:19.07,1,9.58,1:18.94,7,9.42,1:19.48,6,9.38,1:19.31,5,9.53,1:19.27,4,9.42,1:19.25
3,9.48,1:28.62,2,9.47,1:28.54,1,9.46,1:28.40,7,9.56,1:29.04,5,9.51,1:28.82,6,9.70,1:28.97,4,9.51,1:28.76
2,9.26,1:37.88,2,9.34,1:37.88,1,9.34,1:37.74,7,9.60,1:38.64,4,9.35,1:38.17,6,9.45,1:38.42,5,9.44,1:38.20
2,9.32,1:47.20,3,9.41,1:47.29,1,9.25,1:46.99,7,9.82,1:48.46,4,9.22,1:47.39,5,9.33,1:47.75,6,9.72,1:47.92
2,9.44,1:56.64,3,9.40,1:56.69,1,9.25,1:56.24,7,10.30,1:58.76,4,9.38,1:56.77,5,9.45,1:57.20,6,10.07,1:57.99
2,9.64,2:06.28,3,9.64,2:06.33,1,9.42,2:05.66,7,10.81,2:09.57,4,9.61,2:06.38,5,9.72,2:06.92,6,10.65,2:08.64
2,9.86,2:16.131,4,10.17,2:16.482,1,9.67,2:15.306,7,11.11,2:20.657,3,9.79,2:16.161,5,10.04,2:16.944,6,11.58,2:20.200
