MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME
2,8.71,8.71,3,8.85,8.85,4,9.10,9.10,1,8.49,8.49,5,9.18,9.18
2,11.43,20.14,3,11.41,20.26,5,11.45,20.55,1,11.52,20.01,4,11.20,20.38
2,11.03,31.17,4,11.12,31.38,5,11.00,31.55,1,11.05,31.06,3,10.92,31.30
2,10.80,41.97,4,10.78,42.16,5,10.83,42.38,1,10.79,41.85,3,10.75,42.05
2,10.63,52.60,4,10.63,52.79,5,10.60,52.98,1,10.62,52.47,3,10.64,52.69
2,10.53,1:03.13,4,10.52,1:03.31,5,10.49,1:03.47,1,10.55,1:03.02,3,10.52,1:03.21
2,10.35,1:13.48,4,10.35,1:13.66,5,10.30,1:13.77,1,10.32,1:13.34,3,10.36,1:13.57
2,10.21,1:23.69,5,10.20,1:23.86,1,9.85,1:23.62,3,10.36,1:23.70,4,10.27,1:23.84
2,9.56,1:33.25,5,9.84,1:33.70,1,9.50,1:33.12,3,9.68,1:33.38,4,9.64,1:33.48
1,9.49,1:42.74,5,9.47,1:43.17,1,9.62,1:42.74,4,9.66,1:43.04,3,9.51,1:42.99
1,9.17,1:51.91,5,9.75,1:52.92,2,9.31,1:52.05,4,9.47,1:52.51,3,9.32,1:52.31
1,9.21,2:01.12,5,10.21,2:03.13,2,9.20,2:01.25,4,9.18,2:01.69,3,9.15,2:01.46
2,9.45,2:10.57,5,10.46,2:13.59,1,9.24,2:10.49,4,9.25,2:10.94,3,9.27,2:10.73
0,9.55,2:20.12,5,10.71,2:24.30,0,9.60,2:20.09,4,9.59,2:20.53,3,9.46,2:20.19
