Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
2,10.082,10.082,5,10.371,10.371,4,10.265,10.265,3,10.251,10.251,1,10.031,10.031
5,12.436,22.518,4,12.114,22.486,3,12.189,22.454,2,12.186,22.437,1,12.271,22.302
1,11.053,33.571,5,11.549,34.035,4,11.445,33.899,3,11.370,33.807,2,11.425,33.727
1,10.581,44.152,5,10.600,44.635,4,10.663,44.562,3,10.742,44.549,2,10.614,44.341
1,10.352,54.503,5,10.245,54.880,4,10.215,54.777,3,10.209,54.758,2,10.299,54.640
1,10.124,1:04.627,3,10.045,1:04.924,5,10.185,1:04.962,4,10.174,1:04.931,2,10.162,1:04.802
1,9.925,1:14.552,5,10.526,1:15.450,3,9.895,1:14.857,4,10.444,1:15.375,2,9.989,1:14.790
1,9.730,1:24.282,4,9.455,1:24.905,3,9.687,1:24.543,5,27.481,1:42.856,2,9.548,1:24.338
1,9.396,1:33.677,3,8.994,1:33.900,4,9.526,1:34.069,5,13.350,1:56.206,2,9.485,1:33.824
1,9.520,1:43.198,4,9.392,1:43.292,3,9.167,1:43.236,5,11.929,2:08.135,2,9.375,1:43.199
1,9.364,1:52.562,4,9.498,1:52.790,3,9.551,1:52.787,5,11.518,2:19.653,2,9.486,1:52.685
1,9.589,2:02.151,4,9.544,2:02.333,3,9.411,2:02.198,5,12.301,2:31.954,2,9.506,2:02.191
2,9.675,2:11.826,3,9.505,2:11.838,4,9.715,2:11.913,5,12.574,2:44.528,1,9.403,2:11.594
2,9.600,2:21.426,4,9.932,2:21.771,3,9.669,2:21.582,0,,,1,9.669,2:21.263
