LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,12.91,12.91,4,13.19,13.19,3,13.01,13.01,1,12.79,12.79
1,9.76,22.67,4,9.71,22.90,3,9.74,22.75,2,9.95,22.74
1,9.55,32.22,3,9.48,32.38,4,9.79,32.54,2,9.57,32.31
2,9.52,41.74,1,9.34,41.72,4,9.47,42.01,3,9.54,41.85
2,9.15,50.89,1,9.11,50.83,4,9.14,51.15,3,9.19,51.04
2,8.95,59.84,1,9.00,59.83,4,8.99,1:00.14,3,8.97,1:00.01
1,8.99,1:08.83,4,16.18,1:16.01,3,9.11,1:09.25,2,9.03,1:09.04
1,9.34,1:18.17,4,24.71,1:40.72,3,9.27,1:18.52,2,9.28,1:18.32
1,9.48,1:27.645,4,14.35,1:55.067,3,9.31,1:27.828,2,9.38,1:27.691
