Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
4,13.962,13.962,3,13.793,13.793,2,13.782,13.782,1,13.626,13.626
4,10.312,24.274,1,10.344,24.137,2,10.415,24.196,3,10.587,24.213
1,9.351,33.626,3,9.616,33.753,4,9.841,34.037,2,9.482,33.695
2,9.514,43.140,1,9.367,43.120,4,9.266,43.303,3,9.568,43.262
3,9.737,52.876,1,9.588,52.707,2,9.415,52.718,4,9.781,53.043
3,9.517,1:02.393,1,9.417,1:02.125,2,9.494,1:02.212,4,9.546,1:02.589
4,9.624,1:12.017,1,9.537,1:11.662,3,9.646,1:11.857,2,9.202,1:11.791
3,9.074,1:21.091,1,9.273,1:20.935,4,9.811,1:21.669,2,9.273,1:21.064
3,9.509,1:30.600,1,9.237,1:30.172,4,10.930,1:32.599,2,9.390,1:30.454
