Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,13.06,13.06,2,13.13,13.13,3,13.23,13.23,4,13.37,13.37
1,10.48,23.54,2,10.49,23.62,3,10.48,23.71,4,10.48,23.85
2,10.37,33.91,1,10.23,33.85,3,10.37,34.08,4,10.34,34.19
2,9.91,43.82,1,9.82,43.67,3,9.84,43.92,4,9.86,44.05
2,9.37,53.19,1,9.40,53.07,3,9.36,53.28,4,9.33,53.38
2,9.18,1:02.37,1,9.20,1:02.27,3,9.18,1:02.46,4,9.17,1:02.55
2,9.22,1:11.59,1,9.21,1:11.48,3,9.17,1:11.63,4,9.19,1:11.74
4,9.83,1:21.42,1,9.47,1:20.95,2,9.64,1:21.27,3,9.65,1:21.39
3,11.89,1:33.301,1,10.00,1:30.941,0,,PEN,2,9.89,1:31.271
