Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,7.07,7.07,2,7.18,7.18,4,7.52,7.52,3,7.31,7.31
1,9.25,16.32,2,9.17,16.35,4,9.21,16.73,3,9.15,16.46
2,8.81,25.13,1,8.72,25.07,4,8.56,25.29,3,8.78,25.24
2,8.77,33.90,1,8.75,33.82,4,8.69,33.98,3,8.73,33.97
1,9.60,43.492,3,1:21.94,1:55.756,0,,PEN,2,15.97,49.931
