LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
4,9.850,9.850,5,9.880,9.880,1,9.640,9.640,6,10.980,10.980,3,9.830,9.830,2,9.820,9.820
5,13.310,23.160,6,13.280,23.160,4,13.410,23.060,1,11.510,22.500,3,13.010,22.840,2,13.000,22.820
4,12.000,35.160,3,11.900,35.070,2,11.910,34.970,1,12.210,34.710,5,12.380,35.230,6,12.640,35.470
5,12.220,47.390,3,11.850,46.920,2,11.910,46.890,6,12.740,47.450,4,11.810,47.040,1,11.300,46.780
6,11.330,58.720,1,11.370,58.300,4,11.760,58.650,5,11.210,58.670,3,11.520,58.560,2,11.600,58.380
6,10.460,1:09.190,1,10.410,1:08.710,3,10.320,1:08.980,4,10.390,1:09.060,5,10.590,1:09.160,2,10.390,1:08.770
4,10.110,1:19.300,1,10.280,1:19.000,5,10.390,1:19.370,6,10.310,1:19.380,3,9.960,1:19.130,2,10.330,1:19.110
6,10.310,1:29.610,2,10.310,1:29.310,5,10.100,1:29.480,1,9.810,1:29.190,4,10.270,1:29.410,3,10.200,1:29.320
6,9.980,1:39.590,3,10.070,1:39.390,1,9.570,1:39.050,2,10.000,1:39.190,4,10.000,1:39.410,5,10.170,1:39.490
6,9.680,1:49.270,4,9.490,1:48.880,3,9.730,1:48.790,5,9.690,1:48.890,1,9.220,1:48.630,2,9.270,1:48.770
3,8.760,1:58.040,2,9.130,1:58.010,5,9.520,1:58.320,6,9.540,1:58.430,1,9.250,1:57.890,4,9.300,1:58.070
1,8.760,2:06.800,5,9.490,2:07.510,2,8.980,2:07.300,3,8.910,2:07.350,4,9.490,2:07.380,6,9.720,2:07.790
1,8.750,2:15.560,5,9.530,2:17.040,2,9.270,2:16.580,3,9.230,2:16.580,4,9.560,2:16.940,6,9.860,2:17.650
1,9.550,2:25.110,5,9.920,2:26.970,3,9.600,2:26.180,2,9.580,2:26.170,4,9.740,2:26.690,6,11.190,2:28.850
