Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Sherry STUTHRIDGE POSITION,Sherry STUTHRIDGE LAP TIME,Sherry STUTHRIDGE ELAPSED TIME
3,17.743,17.743,1,17.485,17.485,2,17.673,17.673,4,17.891,17.891
1,12.054,29.797,2,12.556,30.041,3,12.396,30.069,4,12.310,30.201
1,11.787,41.584,4,12.005,42.045,2,11.748,41.816,3,11.783,41.983
1,11.124,52.708,2,10.923,52.968,3,11.319,53.135,4,11.441,53.423
2,11.136,1:03.843,3,11.207,1:04.175,1,10.576,1:03.710,4,10.758,1:04.181
2,10.419,1:14.262,1,10.044,1:14.218,3,10.849,1:14.558,4,10.908,1:15.089
2,10.006,1:24.268,1,9.907,1:24.125,3,9.829,1:24.387,4,11.267,1:26.355
3,10.157,1:34.425,1,9.520,1:33.644,2,9.947,1:34.333,4,11.721,1:38.076
3,10.04,1:44.463,1,10.34,1:43.977,2,9.83,1:44.162,4,12.35,1:50.424
