Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,WANG Baojian POSITION,WANG Baojian LAP TIME,WANG Baojian ELAPSED TIME
1,6.852,6.852,2,6.921,6.921,3,7.062,7.062,4,7.257,7.257
1,9.165,16.017,2,9.225,16.146,3,9.197,16.258,4,9.059,16.316
1,8.831,24.847,3,9.086,25.231,2,8.800,25.057,4,9.073,25.388
2,9.017,33.863,3,9.217,34.448,1,8.686,33.743,4,9.088,34.476
2,9.45,43.305,3,9.57,44.016,1,9.20,42.942,4,9.62,44.095
