VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Vanessa BELANGER-MARCEAU POSITION,Vanessa BELANGER-MARCEAU LAP TIME,Vanessa BELANGER-MARCEAU ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
3,13.96,13.96,1,13.78,13.78,4,14.10,14.10,2,13.78,13.78
2,10.36,24.32,1,10.43,24.21,3,10.30,24.40,4,10.62,24.40
2,9.84,34.16,3,10.04,34.25,1,9.70,34.10,4,9.92,34.32
2,9.80,43.96,3,9.81,44.06,1,9.77,43.87,4,9.89,44.21
2,10.20,54.16,3,10.20,54.26,1,10.16,54.03,4,10.16,54.37
2,10.12,1:04.28,3,10.10,1:04.36,1,10.15,1:04.18,4,10.20,1:04.57
2,10.21,1:14.49,3,10.19,1:14.55,1,10.23,1:14.41,4,10.01,1:14.58
2,10.46,1:24.95,4,10.53,1:25.08,3,10.63,1:25.04,1,10.22,1:24.80
2,10.48,1:35.424,3,10.45,1:35.529,4,11.12,1:36.154,1,10.52,1:35.313
