Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,8.66,8.66,2,8.79,8.79,4,9.09,9.09,5,9.28,9.28,3,8.93,8.93,6,9.43,9.43
1,12.78,21.44,2,12.79,21.58,4,12.78,21.87,5,12.70,21.98,3,12.78,21.71,6,12.71,22.14
1,12.47,33.91,2,12.44,34.02,3,12.16,34.03,5,12.54,34.52,4,12.49,34.20,6,12.50,34.64
3,11.25,45.16,4,11.22,45.24,1,11.03,45.06,6,11.05,45.57,2,10.96,45.16,5,10.83,45.47
1,9.80,54.96,4,10.05,55.29,2,9.97,55.03,6,9.90,55.47,3,9.97,55.13,5,9.92,55.39
1,10.07,1:05.03,3,9.96,1:05.25,4,10.23,1:05.26,6,10.04,1:05.51,2,10.01,1:05.14,5,10.00,1:05.39
1,9.53,1:14.56,2,9.43,1:14.68,4,9.64,1:14.90,6,9.61,1:15.12,3,9.67,1:14.81,5,9.64,1:15.03
1,9.66,1:24.22,2,9.64,1:24.32,3,9.51,1:24.41,6,9.63,1:24.75,4,9.74,1:24.55,5,9.63,1:24.66
1,9.57,1:33.79,2,9.61,1:33.93,3,9.61,1:34.02,6,9.61,1:34.36,5,9.69,1:34.24,4,9.49,1:34.15
1,9.39,1:43.18,6,10.15,1:44.08,3,9.39,1:43.41,5,9.27,1:43.63,4,9.32,1:43.56,2,9.20,1:43.35
1,9.33,1:52.51,6,9.30,1:53.38,4,9.46,1:52.87,3,8.99,1:52.62,5,9.42,1:52.98,2,9.24,1:52.59
3,9.28,2:01.79,6,9.06,2:02.44,4,9.28,2:02.15,1,8.83,2:01.45,5,9.34,2:02.32,2,9.07,2:01.66
3,9.21,2:11.00,6,9.43,2:11.87,4,9.44,2:11.59,1,8.85,2:10.30,5,9.35,2:11.67,2,8.80,2:10.46
3,9.48,2:20.481,0,,PEN,4,9.73,2:21.318,1,9.06,2:19.353,5,9.71,2:21.379,2,8.96,2:19.420
