TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME
1,13.55,13.55,3,13.67,13.67,4,13.83,13.83,2,13.63,13.63
2,9.82,23.37,4,9.96,23.63,3,9.63,23.46,1,9.63,23.26
1,9.36,32.73,4,9.40,33.03,3,9.47,32.93,2,9.61,32.87
1,9.48,42.21,4,9.63,42.66,2,9.44,42.37,3,9.77,42.64
1,9.22,51.43,3,9.45,52.11,2,9.27,51.64,4,9.79,52.43
1,9.27,1:00.70,3,9.44,1:01.55,2,9.21,1:00.85,4,10.05,1:02.48
1,9.25,1:09.95,3,9.59,1:11.14,2,9.27,1:10.12,4,10.67,1:13.15
1,9.41,1:19.36,3,9.97,1:21.11,2,9.42,1:19.54,4,11.38,1:24.53
1,9.69,1:29.05,3,10.20,1:31.300,2,9.81,1:29.35,4,11.86,1:36.371
