CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
2,9.36,9.36,1,9.23,9.23,4,9.60,9.60,3,9.47,9.47,5,9.74,9.74,6,9.86,9.86
2,12.80,22.16,1,12.81,22.04,4,12.76,22.36,3,12.79,22.26,5,12.63,22.37,6,12.74,22.60
3,11.17,33.33,2,11.08,33.12,5,11.31,33.67,4,11.25,33.51,1,10.58,32.95,6,11.24,33.84
3,10.55,43.88,1,10.52,43.64,5,10.47,44.14,4,10.54,44.05,2,10.71,43.66,6,10.47,44.31
3,9.99,53.87,2,10.08,53.72,5,9.92,54.06,4,9.93,53.98,1,9.95,53.61,6,9.91,54.22
2,9.96,1:03.83,3,10.23,1:03.95,5,10.06,1:04.12,4,10.00,1:03.98,1,10.11,1:03.72,6,10.10,1:04.32
2,10.20,1:14.03,3,10.19,1:14.14,5,10.24,1:14.36,4,10.26,1:14.24,1,10.21,1:13.93,6,10.23,1:14.55
1,10.04,1:24.07,3,10.11,1:24.25,5,10.13,1:24.49,4,10.15,1:24.39,2,10.16,1:24.09,6,10.14,1:24.69
1,9.80,1:33.87,3,9.84,1:34.09,5,9.77,1:34.26,4,9.73,1:34.12,2,9.87,1:33.96,6,9.83,1:34.52
1,9.89,1:43.76,6,10.73,1:44.82,3,9.84,1:44.10,4,10.25,1:44.37,2,9.92,1:43.88,5,10.00,1:44.52
1,9.84,1:53.60,6,10.00,1:54.82,3,9.85,1:53.95,4,10.00,1:54.37,2,9.86,1:53.74,5,10.01,1:54.53
1,9.76,2:03.36,6,10.18,2:05.00,3,9.97,2:03.92,4,10.18,2:04.55,2,9.83,2:03.57,5,10.22,2:04.75
1,9.85,2:13.21,6,10.34,2:15.34,3,10.28,2:14.20,4,10.37,2:14.92,2,9.83,2:13.40,5,10.40,2:15.15
1,10.06,2:23.269,0,,PEN,3,10.72,2:24.917,4,10.68,2:25.599,2,9.96,2:23.353,5,10.64,2:25.789
