LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,13.54,13.54,1,13.50,13.50,3,13.88,13.88,4,13.95,13.95
2,11.10,24.65,1,11.07,24.57,4,11.11,24.99,3,10.72,24.68
1,9.76,34.42,3,9.87,34.44,4,9.76,34.76,2,9.74,34.42
3,9.84,44.26,1,9.76,44.20,4,9.75,44.51,2,9.78,44.21
1,9.61,53.87,2,9.70,53.90,4,9.61,54.12,3,9.82,54.03
2,9.56,1:03.43,1,9.28,1:03.18,4,9.67,1:03.80,3,9.56,1:03.59
2,9.26,1:12.70,1,9.28,1:12.47,4,9.64,1:13.44,3,9.72,1:13.32
2,9.46,1:22.16,1,9.56,1:22.04,4,10.07,1:23.51,3,9.85,1:23.18
2,9.68,1:31.838,1,9.70,1:31.738,4,10.24,1:33.741,3,10.00,1:33.171
