Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.74,6.74,3,7.02,7.02,2,6.87,6.87,4,7.20,7.20
1,8.76,15.50,3,8.65,15.67,2,8.72,15.59,4,8.57,15.77
1,8.21,23.71,3,8.19,23.86,2,8.13,23.72,4,8.23,24.00
2,8.42,32.13,3,8.33,32.19,1,8.28,32.00,4,8.26,32.26
4,33.91,1:06.04,2,8.46,40.65,1,8.43,40.43,3,8.64,40.90
