LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME
2,12.893,12.893,3,13.007,13.007,1,12.733,12.733
2,9.442,22.336,3,9.483,22.490,1,9.469,22.202
1,9.277,31.613,3,9.261,31.751,2,9.418,31.620
2,9.279,40.892,3,9.220,40.971,1,9.246,40.866
2,9.208,50.099,3,9.170,50.142,1,9.215,50.081
1,9.285,59.385,3,9.393,59.535,2,9.365,59.446
1,9.433,1:08.817,3,9.370,1:08.905,2,9.374,1:08.820
1,8.630,1:17.447,3,9.533,1:18.438,2,9.416,1:18.236
1,8.997,1:26.444,3,9.555,1:27.993,2,9.476,1:27.712
