CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME
1,8.49,8.49,2,8.53,8.53,6,9.04,9.04,3,8.69,8.69,5,8.90,8.90,4,8.79,8.79,7,9.17,9.17
1,11.25,19.74,2,11.30,19.83,7,11.04,20.08,4,11.24,19.93,6,11.12,20.02,3,11.06,19.85,5,10.83,20.00
3,11.24,30.98,4,11.29,31.12,6,11.29,31.37,5,11.31,31.24,7,11.45,31.47,2,11.05,30.90,1,10.86,30.86
3,11.01,41.99,4,11.04,42.16,6,11.05,42.42,5,11.04,42.28,7,11.07,42.54,1,10.89,41.79,2,10.95,41.81
4,10.87,52.86,3,10.67,52.83,6,10.77,53.19,5,10.76,53.04,7,10.77,53.31,2,10.99,52.78,1,10.86,52.67
4,9.95,1:02.81,1,9.70,1:02.53,6,9.80,1:02.99,5,9.86,1:02.90,7,9.81,1:03.12,3,9.93,1:02.71,2,9.97,1:02.64
1,9.55,1:12.36,2,9.84,1:12.37,6,9.71,1:12.70,7,9.90,1:12.80,4,9.38,1:12.50,5,9.85,1:12.56,3,9.84,1:12.48
2,9.26,1:21.62,5,9.52,1:21.89,6,9.30,1:22.00,7,9.28,1:22.08,1,9.07,1:21.57,4,9.29,1:21.85,3,9.24,1:21.72
4,9.56,1:31.18,2,9.24,1:31.13,6,9.45,1:31.45,7,9.51,1:31.59,3,9.60,1:31.17,5,9.48,1:31.33,1,9.35,1:31.07
4,9.31,1:40.49,1,9.22,1:40.35,6,9.30,1:40.75,7,9.26,1:40.85,5,9.49,1:40.66,3,9.14,1:40.47,1,9.28,1:40.35
5,9.18,1:49.67,2,9.06,1:49.41,4,8.91,1:49.66,7,8.94,1:49.79,6,9.11,1:49.77,3,9.07,1:49.54,1,9.00,1:49.35
4,8.88,1:58.55,1,8.83,1:58.24,5,8.94,1:58.60,6,8.84,1:58.63,7,9.04,1:58.81,2,8.86,1:58.40,3,9.07,1:58.42
5,9.33,2:07.88,1,8.86,2:07.10,3,8.90,2:07.50,6,9.31,2:07.94,7,9.28,2:08.09,2,8.87,2:07.27,4,9.36,2:07.78
7,44.47,2:52.354,1,9.08,2:16.18,3,8.85,2:16.35,6,35.54,2:43.489,4,9.89,2:17.98,2,8.96,2:16.23,5,10.97,2:18.75
